Question,What is the color of the sky?
Correct Answer,Blue
Wrong Answer,Red
Wrong Answer,Magenta
Wrong Answer,Green
,
Question,Which week day follows Thursday?
Correct Answer,Friday
Wrong Answer,Monday
Wrong Answer,Tuesday
Wrong Answer,Sunday
,
Question,Which of the following is true?
Correct Answer,Giraffes are mammals.
Wrong Answer,Elephants are insects.
Wrong Answer,Parrots are mammals.
Wrong Answer,Giraffes are reptiles.
,
Question,$\sqrt{(7 \cdot 4)^2}$ equals
Correct Answer,$\pm 28$
Wrong Answer,27
Wrong Answer,29
Wrong Answer,7
